Rainfall (mm);"	Year"; Month; Country; ISO3; ISO2
34,081055;1990;1;IRN;;
38,749;1990;2;IRN;;
20,996153;1990;3;IRN;;
27,504986;1990;4;IRN;;
8,852564;1990;5;IRN;;
3,183476;1990;6;IRN;;
3,7623932;1990;7;IRN;;
2,9319088;1990;8;IRN;;
2,275356;1990;9;IRN;;
8,821225;1990;10;IRN;;
7,960826;1990;11;IRN;;
17,837465;1990;12;IRN;;
42,825214;1991;1;IRN;;
33,655697;1991;2;IRN;;
56,715813;1991;3;IRN;;
20,02849;1991;4;IRN;;
13,144587;1991;5;IRN;;
5,2421656;1991;6;IRN;;
3,7887464;1991;7;IRN;;
2,977778;1991;8;IRN;;
2,5257835;1991;9;IRN;;
8,9955845;1991;10;IRN;;
9,384473;1991;11;IRN;;
44,526352;1991;12;IRN;;
39,043304;1992;1;IRN;;
29,373505;1992;2;IRN;;
35,813393;1992;3;IRN;;
35,273506;1992;4;IRN;;
27,08319;1992;5;IRN;;
6,5568376;1992;6;IRN;;
4,0086894;1992;7;IRN;;
3,7954414;1992;8;IRN;;
3,2672362;1992;9;IRN;;
3,2350426;1992;10;IRN;;
14,582336;1992;11;IRN;;
42,094444;1992;12;IRN;;
36,642166;1993;1;IRN;;
46,689316;1993;2;IRN;;
34,817947;1993;3;IRN;;
31,90299;1993;4;IRN;;
22,310684;1993;5;IRN;;
6,5237894;1993;6;IRN;;
3,845014;1993;7;IRN;;
3,7663817;1993;8;IRN;;
2,9767807;1993;9;IRN;;
7,1095443;1993;10;IRN;;
22,149145;1993;11;IRN;;
10,854986;1993;12;IRN;;
28,650284;1994;1;IRN;;
17,542736;1994;2;IRN;;
40,67849;1994;3;IRN;;
23,357265;1994;4;IRN;;
16,482052;1994;5;IRN;;
5,6641026;1994;6;IRN;;
3,2072651;1994;7;IRN;;
2,7433047;1994;8;IRN;;
3,0662394;1994;9;IRN;;
11,916097;1994;10;IRN;;
21,922222;1994;11;IRN;;
22,271084;1994;12;IRN;;
13,760114;1995;1;IRN;;
32,841312;1995;2;IRN;;
30,062963;1995;3;IRN;;
38,984188;1995;4;IRN;;
15,292023;1995;5;IRN;;
6,325926;1995;6;IRN;;
3,2723649;1995;7;IRN;;
3,181054;1995;8;IRN;;
3,5495727;1995;9;IRN;;
5,1566954;1995;10;IRN;;
5,7737894;1995;11;IRN;;
26,423649;1995;12;IRN;;
42,970085;1996;1;IRN;;
41,911537;1996;2;IRN;;
54,517803;1996;3;IRN;;
32,700855;1996;4;IRN;;
15,490883;1996;5;IRN;;
3,9001422;1996;6;IRN;;
3,321225;1996;7;IRN;;
2,548718;1996;8;IRN;;
3,421795;1996;9;IRN;;
7,441738;1996;10;IRN;;
7,738604;1996;11;IRN;;
14,063675;1996;12;IRN;;
32,31852;1997;1;IRN;;
11,467806;1997;2;IRN;;
48,22379;1997;3;IRN;;
27,944586;1997;4;IRN;;
15,828775;1997;5;IRN;;
8,574074;1997;6;IRN;;
5,321795;1997;7;IRN;;
2,9767807;1997;8;IRN;;
3,9737892;1997;9;IRN;;
6,7290597;1997;10;IRN;;
26,398575;1997;11;IRN;;
30,386469;1997;12;IRN;;
46,392593;1998;1;IRN;;
35,894157;1998;2;IRN;;
42,846294;1998;3;IRN;;
26,823505;1998;4;IRN;;
16,061966;1998;5;IRN;;
4,1910257;1998;6;IRN;;
4,225926;1998;7;IRN;;
3,5182335;1998;8;IRN;;
3,2196584;1998;9;IRN;;
6,5223646;1998;10;IRN;;
6,173362;1998;11;IRN;;
6,1867523;1998;12;IRN;;
37,725784;1999;1;IRN;;
33,962822;1999;2;IRN;;
37,951424;1999;3;IRN;;
16,136753;1999;4;IRN;;
10,289601;1999;5;IRN;;
2,9982905;1999;6;IRN;;
4,3363247;1999;7;IRN;;
3,699145;1999;8;IRN;;
3,56453;1999;9;IRN;;
7,5735044;1999;10;IRN;;
12,97094;1999;11;IRN;;
11,785043;1999;12;IRN;;
38,98376;2000;1;IRN;;
14,496866;2000;2;IRN;;
18,998291;2000;3;IRN;;
8,818519;2000;4;IRN;;
6,1672363;2000;5;IRN;;
4,24359;2000;6;IRN;;
3,3158119;2000;7;IRN;;
3,3511395;2000;8;IRN;;
3,451852;2000;9;IRN;;
11,244444;2000;10;IRN;;
25,432764;2000;11;IRN;;
37,364956;2000;12;IRN;;
18,451853;2001;1;IRN;;
20,343876;2001;2;IRN;;
23,077635;2001;3;IRN;;
13,201567;2001;4;IRN;;
15,384616;2001;5;IRN;;
3,8168092;2001;6;IRN;;
4,070513;2001;7;IRN;;
4,021225;2001;8;IRN;;
3,1908832;2001;9;IRN;;
7,3937325;2001;10;IRN;;
12,030057;2001;11;IRN;;
38,378777;2001;12;IRN;;
35,68262;2002;1;IRN;;
23,648718;2002;2;IRN;;
23,60171;2002;3;IRN;;
40,342022;2002;4;IRN;;
14,984758;2002;5;IRN;;
4,0200853;2002;6;IRN;;
3,703846;2002;7;IRN;;
3,918661;2002;8;IRN;;
2,2;2002;9;IRN;;
5,783048;2002;10;IRN;;
13,355556;2002;11;IRN;;
27,389744;2002;12;IRN;;
30,119232;2003;1;IRN;;
29,796865;2003;2;IRN;;
38,780056;2003;3;IRN;;
31,206125;2003;4;IRN;;
16,087893;2003;5;IRN;;
6,85584;2003;6;IRN;;
3,7975783;2003;7;IRN;;
3,2725072;2003;8;IRN;;
3,688889;2003;9;IRN;;
5,9146724;2003;10;IRN;;
17,902563;2003;11;IRN;;
29,341452;2003;12;IRN;;
41,341454;2004;1;IRN;;
18,91282;2004;2;IRN;;
22,128063;2004;3;IRN;;
37,70983;2004;4;IRN;;
24,91339;2004;5;IRN;;
5,717379;2004;6;IRN;;
5,200285;2004;7;IRN;;
3,2179484;2004;8;IRN;;
2,8478632;2004;9;IRN;;
5,423077;2004;10;IRN;;
22,90627;2004;11;IRN;;
32,61211;2004;12;IRN;;
38,059402;2005;1;IRN;;
33,52892;2005;2;IRN;;
37,541313;2005;3;IRN;;
27,807835;2005;4;IRN;;
19,691168;2005;5;IRN;;
7,3202276;2005;6;IRN;;
3,605698;2005;7;IRN;;
2,8880343;2005;8;IRN;;
2,8226495;2005;9;IRN;;
9,820798;2005;10;IRN;;
18,118092;2005;11;IRN;;
23,335754;2005;12;IRN;;
30,550144;2006;1;IRN;;
31,955698;2006;2;IRN;;
24,82792;2006;3;IRN;;
33,33034;2006;4;IRN;;
17,34017;2006;5;IRN;;
3,9289174;2006;6;IRN;;
4,283618;2006;7;IRN;;
3,4707978;2006;8;IRN;;
3,646154;2006;9;IRN;;
11,90057;2006;10;IRN;;
14,247009;2006;11;IRN;;
26,454132;2006;12;IRN;;
17,85812;2007;1;IRN;;
30,861822;2007;2;IRN;;
45,440456;2007;3;IRN;;
42,444447;2007;4;IRN;;
13,560684;2007;5;IRN;;
5,3162394;2007;6;IRN;;
3,482336;2007;7;IRN;;
3,055983;2007;8;IRN;;
3,387322;2007;9;IRN;;
5,532621;2007;10;IRN;;
8,822508;2007;11;IRN;;
19,354984;2007;12;IRN;;
33,222507;2008;1;IRN;;
16,529488;2008;2;IRN;;
10,53718;2008;3;IRN;;
11,4477215;2008;4;IRN;;
10,870655;2008;5;IRN;;
5,4081197;2008;6;IRN;;
4,4913106;2008;7;IRN;;
2,7884614;2008;8;IRN;;
3,1448717;2008;9;IRN;;
14,168518;2008;10;IRN;;
14,001567;2008;11;IRN;;
16,810257;2008;12;IRN;;
22,833477;2009;1;IRN;;
22,186752;2009;2;IRN;;
33,559685;2009;3;IRN;;
34,982338;2009;4;IRN;;
9,723362;2009;5;IRN;;
5,2876067;2009;6;IRN;;
3,0239317;2009;7;IRN;;
5,3736467;2009;8;IRN;;
4,286895;2009;9;IRN;;
9,353561;2009;10;IRN;;
22,028633;2009;11;IRN;;
26,657124;2009;12;IRN;;
15,410912;2010;1;IRN;;
34,054558;2010;2;IRN;;
20,287163;2010;3;IRN;;
30,298843;2010;4;IRN;;
20,339539;2010;5;IRN;;
3,8074455;2010;6;IRN;;
1,2192554;2010;7;IRN;;
2,225674;2010;8;IRN;;
1,6378691;2010;9;IRN;;
4,8353014;2010;10;IRN;;
7,317073;2010;11;IRN;;
7,222978;2010;12;IRN;;
27,521566;2011;1;IRN;;
44,660847;2011;2;IRN;;
22,2181;2011;3;IRN;;
19,552504;2011;4;IRN;;
19,759178;2011;5;IRN;;
6,130937;2011;6;IRN;;
4,398203;2011;7;IRN;;
4,4341464;2011;8;IRN;;
3,1912708;2011;9;IRN;;
14,474968;2011;10;IRN;;
29,06277;2011;11;IRN;;
13,0181;2011;12;IRN;;
10,744544;2012;1;IRN;;
37,781387;2012;2;IRN;;
19,251862;2012;3;IRN;;
19,819897;2012;4;IRN;;
8,165468;2012;5;IRN;;
3,8442874;2012;6;IRN;;
8,122978;2012;7;IRN;;
1,1112965;2012;8;IRN;;
1,3367137;2012;9;IRN;;
14,382413;2012;10;IRN;;
33,104748;2012;11;IRN;;
44,038254;2012;12;IRN;;
55,429413;1990;1;NLD;;
87,86177;1990;2;NLD;;
31,62647;1990;3;NLD;;
48,15882;1990;4;NLD;;
26,12647;1990;5;NLD;;
75,579414;1990;6;NLD;;
38,788235;1990;7;NLD;;
52,54706;1990;8;NLD;;
87,87353;1990;9;NLD;;
56,391174;1990;10;NLD;;
90,21764;1990;11;NLD;;
72,12941;1990;12;NLD;;
57,291176;1991;1;NLD;;
23,955883;1991;2;NLD;;
22,979412;1991;3;NLD;;
35,88235;1991;4;NLD;;
31,05;1991;5;NLD;;
111,72646;1991;6;NLD;;
62,623528;1991;7;NLD;;
16,77647;1991;8;NLD;;
55,632355;1991;9;NLD;;
41,055885;1991;10;NLD;;
108,73529;1991;11;NLD;;
58,04706;1991;12;NLD;;
37,088234;1992;1;NLD;;
31,794117;1992;2;NLD;;
84,99117;1992;3;NLD;;
52,929413;1992;4;NLD;;
42,314705;1992;5;NLD;;
62,152943;1992;6;NLD;;
72,04706;1992;7;NLD;;
108,97353;1992;8;NLD;;
47,758823;1992;9;NLD;;
88,97059;1992;10;NLD;;
113,761765;1992;11;NLD;;
57,782356;1992;12;NLD;;
91,10294;1993;1;NLD;;
26,888235;1993;2;NLD;;
11,411764;1993;3;NLD;;
42,258823;1993;4;NLD;;
58,05;1993;5;NLD;;
42,605885;1993;6;NLD;;
131,13823;1993;7;NLD;;
48,491177;1993;8;NLD;;
118,7206;1993;9;NLD;;
79,95294;1993;10;NLD;;
47,97647;1993;11;NLD;;
153,36177;1993;12;NLD;;
92,12647;1994;1;NLD;;
27,485294;1994;2;NLD;;
90,59412;1994;3;NLD;;
53,979412;1994;4;NLD;;
70,85294;1994;5;NLD;;
55,967644;1994;6;NLD;;
49,364708;1994;7;NLD;;
63,367645;1994;8;NLD;;
120,02059;1994;9;NLD;;
99,31764;1994;10;NLD;;
49,3;1994;11;NLD;;
108,88235;1994;12;NLD;;
136,55882;1995;1;NLD;;
82,511765;1995;2;NLD;;
81,35588;1995;3;NLD;;
33,57353;1995;4;NLD;;
62,582355;1995;5;NLD;;
68,15294;1995;6;NLD;;
59,0147;1995;7;NLD;;
71,670586;1995;8;NLD;;
100,32059;1995;9;NLD;;
20,958824;1995;10;NLD;;
45,017647;1995;11;NLD;;
41,229412;1995;12;NLD;;
7,567647;1996;1;NLD;;
54,04706;1996;2;NLD;;
13,714706;1996;3;NLD;;
6,1205883;1996;4;NLD;;
49,211765;1996;5;NLD;;
29,820587;1996;6;NLD;;
48,205883;1996;7;NLD;;
89,39412;1996;8;NLD;;
49,438236;1996;9;NLD;;
67,54411;1996;10;NLD;;
111,09117;1996;11;NLD;;
38,147057;1996;12;NLD;;
4,605882;1997;1;NLD;;
85,00883;1997;2;NLD;;
30,597057;1997;3;NLD;;
32,135292;1997;4;NLD;;
91,641174;1997;5;NLD;;
85,71471;1997;6;NLD;;
57,591175;1997;7;NLD;;
54,888233;1997;8;NLD;;
32,535294;1997;9;NLD;;
80,411766;1997;10;NLD;;
41,088234;1997;11;NLD;;
81,805885;1997;12;NLD;;
76,57059;1998;1;NLD;;
17,794117;1998;2;NLD;;
91,44118;1998;3;NLD;;
88,53823;1998;4;NLD;;
39,07647;1998;5;NLD;;
128,11765;1998;6;NLD;;
77,94118;1998;7;NLD;;
67,69118;1998;8;NLD;;
117,43235;1998;9;NLD;;
159,14117;1998;10;NLD;;
92,761765;1998;11;NLD;;
79,7;1998;12;NLD;;
90,75883;1999;1;NLD;;
66,82353;1999;2;NLD;;
78,02353;1999;3;NLD;;
55,938232;1999;4;NLD;;
42,164707;1999;5;NLD;;
77,06177;1999;6;NLD;;
47,72059;1999;7;NLD;;
87,71471;1999;8;NLD;;
71,858826;1999;9;NLD;;
51,847057;1999;10;NLD;;
57,585297;1999;11;NLD;;
147,15883;1999;12;NLD;;
51,011765;2000;1;NLD;;
87,60294;2000;2;NLD;;
72,12941;2000;3;NLD;;
45,679413;2000;4;NLD;;
80,55882;2000;5;NLD;;
44,47647;2000;6;NLD;;
104,15883;2000;7;NLD;;
45,97647;2000;8;NLD;;
75,96177;2000;9;NLD;;
98,35588;2000;10;NLD;;
91,026474;2000;11;NLD;;
72,38823;2000;12;NLD;;
74,45589;2001;1;NLD;;
74,54706;2001;2;NLD;;
77,91765;2001;3;NLD;;
75,06764;2001;4;NLD;;
32,18235;2001;5;NLD;;
60,588234;2001;6;NLD;;
92,28529;2001;7;NLD;;
83,28529;2001;8;NLD;;
137,63235;2001;9;NLD;;
54,6;2001;10;NLD;;
95,29411;2001;11;NLD;;
79,85;2001;12;NLD;;
74,6147;2002;1;NLD;;
103,52647;2002;2;NLD;;
39,311764;2002;3;NLD;;
49,338234;2002;4;NLD;;
41,92647;2002;5;NLD;;
69,04706;2002;6;NLD;;
88,079414;2002;7;NLD;;
112,77354;2002;8;NLD;;
38,558823;2002;9;NLD;;
88,997055;2002;10;NLD;;
90,20294;2002;11;NLD;;
86,276474;2002;12;NLD;;
79,85588;2003;1;NLD;;
23,032352;2003;2;NLD;;
30,758823;2003;3;NLD;;
40,211765;2003;4;NLD;;
80,34706;2003;5;NLD;;
43,229412;2003;6;NLD;;
47,126472;2003;7;NLD;;
23,191175;2003;8;NLD;;
57,670586;2003;9;NLD;;
77,411766;2003;10;NLD;;
48,97059;2003;11;NLD;;
86,867645;2003;12;NLD;;
114,02059;2004;1;NLD;;
66,588234;2004;2;NLD;;
36,25;2004;3;NLD;;
40,56765;2004;4;NLD;;
36,079414;2004;5;NLD;;
69,270584;2004;6;NLD;;
107,40588;2004;7;NLD;;
122,94706;2004;8;NLD;;
67,84117;2004;9;NLD;;
55,9853;2004;10;NLD;;
79,12941;2004;11;NLD;;
50,57353;2004;12;NLD;;
62,379414;2005;1;NLD;;
65,95589;2005;2;NLD;;
44,035294;2005;3;NLD;;
53,091175;2005;4;NLD;;
54,8;2005;5;NLD;;
51,42647;2005;6;NLD;;
117,71765;2005;7;NLD;;
98,435295;2005;8;NLD;;
55,020588;2005;9;NLD;;
58,99706;2005;10;NLD;;
78,78236;2005;11;NLD;;
55,035297;2005;12;NLD;;
19,588236;2006;1;NLD;;
57,405884;2006;2;NLD;;
77,87059;2006;3;NLD;;
40,69706;2006;4;NLD;;
87,473526;2006;5;NLD;;
22,817646;2006;6;NLD;;
24,841175;2006;7;NLD;;
147,58823;2006;8;NLD;;
18,897058;2006;9;NLD;;
83,45;2006;10;NLD;;
77,05882;2006;11;NLD;;
75,261765;2006;12;NLD;;
106,93823;2007;1;NLD;;
74,27941;2007;2;NLD;;
70,89412;2007;3;NLD;;
2,5647058;2007;4;NLD;;
74,45294;2007;5;NLD;;
90,117645;2007;6;NLD;;
143,91177;2007;7;NLD;;
60,120586;2007;8;NLD;;
84,77941;2007;9;NLD;;
39,152943;2007;10;NLD;;
70,93823;2007;11;NLD;;
74,9;2007;12;NLD;;
91,1647;2008;1;NLD;;
39,80294;2008;2;NLD;;
98,3;2008;3;NLD;;
39,738235;2008;4;NLD;;
35,235294;2008;5;NLD;;
54,51177;2008;6;NLD;;
114,608826;2008;7;NLD;;
92,444115;2008;8;NLD;;
72,09117;2008;9;NLD;;
87,776474;2008;10;NLD;;
82,708824;2008;11;NLD;;
35,5;2008;12;NLD;;
49,685295;2009;1;NLD;;
55,832355;2009;2;NLD;;
61,54706;2009;3;NLD;;
24,355883;2009;4;NLD;;
58,808826;2009;5;NLD;;
58,205883;2009;6;NLD;;
103,91471;2009;7;NLD;;
38,370586;2009;8;NLD;;
34,211765;2009;9;NLD;;
82,21471;2009;10;NLD;;
116,69118;2009;11;NLD;;
82,00883;2009;12;NLD;;
45,18235;2010;1;NLD;;
65,055885;2010;2;NLD;;
46,008823;2010;3;NLD;;
23,323528;2010;4;NLD;;
62,782356;2010;5;NLD;;
26,108822;2010;6;NLD;;
74,74117;2010;7;NLD;;
155,05295;2010;8;NLD;;
78,61177;2010;9;NLD;;
67,67941;2010;10;NLD;;
92,29411;2010;11;NLD;;
51,23823;2010;12;NLD;;
74,65588;2011;1;NLD;;
48,544117;2011;2;NLD;;
16,508823;2011;3;NLD;;
10,752941;2011;4;NLD;;
28,952942;2011;5;NLD;;
86,747055;2011;6;NLD;;
126,42354;2011;7;NLD;;
101,63823;2011;8;NLD;;
68,670586;2011;9;NLD;;
65,79706;2011;10;NLD;;
6,9117646;2011;11;NLD;;
140,75882;2011;12;NLD;;
90,30882;2012;1;NLD;;
20,955883;2012;2;NLD;;
18,688236;2012;3;NLD;;
67,20589;2012;4;NLD;;
58,75;2012;5;NLD;;
85,99117;2012;6;NLD;;
102,29411;2012;7;NLD;;
70,791176;2012;8;NLD;;
50,244118;2012;9;NLD;;
106,36765;2012;10;NLD;;
45,27647;2012;11;NLD;;
125,58529;2012;12;NLD;;
